订单号,产品码,消费日期,产品说明,数量,单价,用户码,城市
536374,21258,6/1/2020 9:09,五彩玫瑰五支装,32,10.95,15100,北京
536376,22114,6/1/2020 9:32,茉莉花白色25枝,48,3.45,15291,上海
536376,21733,6/1/2020 9:32,教师节向日葵3枝尤加利5枝,64,2.55,15291,上海
536378,22386,6/1/2020 9:37,百合粉色10花苞,10,1.95,14688,北京
536378,85099C,6/1/2020 9:37,橙黄香槟色康乃馨,10,1.95,14688,北京
536378,21033,6/1/2020 9:37,满天星干花花束,10,2.95,14688,北京
536378,20723,6/1/2020 9:37,产品说明掩码,10,0.85,14688,北京
536378,84997B,6/1/2020 9:37,产品说明掩码,12,3.75,14688,北京
536378,84997C,6/1/2020 9:37,产品说明掩码,6,3.75,14688,北京
536378,21094,6/1/2020 9:37,产品说明掩码,12,0.85,14688,北京
536378,20725,6/1/2020 9:37,产品说明掩码,10,1.65,14688,北京
536378,21559,6/1/2020 9:37,产品说明掩码,6,2.55,14688,北京
536378,22352,6/1/2020 9:37,产品说明掩码,6,2.55,14688,北京
536378,21212,6/1/2020 9:37,产品说明掩码,120,0.42,14688,北京
536378,21975,6/1/2020 9:37,产品说明掩码,24,0.55,14688,北京
536378,21977,6/1/2020 9:37,产品说明掩码,24,0.55,14688,北京
536378,84991,6/1/2020 9:37,产品说明掩码,24,0.55,14688,北京
536378,84519A,6/1/2020 9:37,产品说明掩码,6,2.95,14688,北京
536378,85183B,6/1/2020 9:37,产品说明掩码,48,1.25,14688,北京
536378,85071B,6/1/2020 9:37,产品说明掩码,96,0.38,14688,北京
536378,21931,6/1/2020 9:37,产品说明掩码,10,1.95,14688,北京
536378,21929,6/1/2020 9:37,产品说明掩码,10,1.95,14688,北京
536381,22139,6/1/2020 9:41,产品说明掩码,23,4.25,15311,上海
536381,84854,6/1/2020 9:41,产品说明掩码,5,4.95,15311,上海
536381,22411,6/1/2020 9:41,产品说明掩码,10,1.95,15311,上海
536381,82567,6/1/2020 9:41,产品说明掩码,2,2.1,15311,上海
536381,21672,6/1/2020 9:41,产品说明掩码,6,1.25,15311,上海
536381,22774,6/1/2020 9:41,产品说明掩码,24,1.25,15311,上海
536381,22771,6/1/2020 9:41,产品说明掩码,24,1.25,15311,上海
536381,71270,6/1/2020 9:41,产品说明掩码,1,1.25,15311,上海
536381,22262,6/1/2020 9:41,产品说明掩码,1,0.85,15311,上海
536381,22637,6/1/2020 9:41,产品说明掩码,1,2.55,15311,上海
536381,21934,6/1/2020 9:41,产品说明掩码,10,1.65,15311,上海
536381,21169,6/1/2020 9:41,产品说明掩码,3,1.69,15311,上海
536381,21166,6/1/2020 9:41,产品说明掩码,1,1.95,15311,上海
536381,21175,6/1/2020 9:41,产品说明掩码,2,2.1,15311,上海
536381,37444A,6/1/2020 9:41,产品说明掩码,1,2.95,15311,上海
536381,37444C,6/1/2020 9:41,产品说明掩码,1,2.95,15311,上海
536381,22086,6/1/2020 9:41,产品说明掩码,4,2.95,15311,上海
536381,22083,6/1/2020 9:41,产品说明掩码,1,2.95,15311,上海
536381,84971S,6/1/2020 9:41,产品说明掩码,6,0.85,15311,上海
536381,71270,6/1/2020 9:41,产品说明掩码,3,1.25,15311,上海
536381,47580,6/1/2020 9:41,产品说明掩码,2,2.55,15311,上海
536381,22261,6/1/2020 9:41,产品说明掩码,1,0.85,15311,上海
536381,84832,6/1/2020 9:41,产品说明掩码,1,0.85,15311,上海
536381,22644,6/1/2020 9:41,产品说明掩码,1,1.45,15311,上海
536381,21533,6/1/2020 9:41,产品说明掩码,1,4.95,15311,上海
536381,21557,6/1/2020 9:41,产品说明掩码,2,2.95,15311,上海
536381,15056BL,6/1/2020 9:41,产品说明掩码,2,5.95,15311,上海
536381,15056N,6/1/2020 9:41,产品说明掩码,2,5.95,15311,上海
536381,22646,6/1/2020 9:41,产品说明掩码,4,1.45,15311,上海
536381,22176,6/1/2020 9:41,产品说明掩码,1,2.95,15311,上海
536381,22438,6/1/2020 9:41,产品说明掩码,1,1.95,15311,上海
536381,21731,6/1/2020 9:41,产品说明掩码,2,1.65,15311,上海
536381,22778,6/1/2020 9:41,产品说明掩码,3,3.95,15311,上海
536381,22719,6/1/2020 9:41,产品说明掩码,36,1.06,15311,上海
536381,21523,6/1/2020 9:41,产品说明掩码,10,6.75,15311,上海
C536383,35004C,6/1/2020 9:49,产品说明掩码,-1,4.65,15311,上海
536401,22110,6/1/2020 11:21,产品说明掩码,1,2.55,15862,深圳
536401,22098,6/1/2020 11:21,产品说明掩码,1,1.25,15862,深圳
536401,22100,6/1/2020 11:21,产品说明掩码,2,1.25,15862,深圳
536401,22766,6/1/2020 11:21,产品说明掩码,1,2.95,15862,深圳
536401,22451,6/1/2020 11:21,产品说明掩码,1,3.35,15862,深圳
536401,22549,6/1/2020 11:21,产品说明掩码,1,1.45,15862,深圳
536401,84744,6/1/2020 11:21,产品说明掩码,1,1.25,15862,深圳
536401,85049E,6/1/2020 11:21,产品说明掩码,2,1.25,15862,深圳
536401,21328,6/1/2020 11:21,产品说明掩码,1,1.65,15862,深圳
536401,22961,6/1/2020 11:21,产品说明掩码,4,1.45,15862,深圳
536401,17091A,6/1/2020 11:21,产品说明掩码,1,1.25,15862,深圳
536401,22473,6/1/2020 11:21,产品说明掩码,1,4.95,15862,深圳
536401,84509A,6/1/2020 11:21,产品说明掩码,2,3.75,15862,深圳
536401,84510A,6/1/2020 11:21,产品说明掩码,2,1.25,15862,深圳
536401,22767,6/1/2020 11:21,产品说明掩码,2,9.95,15862,深圳
536401,22768,6/1/2020 11:21,产品说明掩码,1,9.95,15862,深圳
536401,21463,6/1/2020 11:21,产品说明掩码,1,5.95,15862,深圳
536401,21464,6/1/2020 11:21,产品说明掩码,1,4.25,15862,深圳
536401,20820,6/1/2020 11:21,产品说明掩码,3,4.95,15862,深圳
536401,85150,6/1/2020 11:21,产品说明掩码,1,2.55,15862,深圳
